1	14376
2	4343
3	2292
4	1463
5	1043
6	837
7	638
8	519
9	430
10	364
11	305
12	259
13	242
14	223
15	187
16	181
17	179
18	130
19	127
20	128
21	104
22	105
23	99
24	112
25	93
26	74
27	83
28	76
29	72
30	63
31	73
32	47
33	56
34	59
35	53
36	45
37	34
38	49
39	45
40	52
41	49
42	41
43	30
44	35
45	37
46	21
47	41
48	30
49	28
50	19
51	25
52	19
53	28
54	27
55	31
56	19
57	19
58	22
59	23
60	14
61	30
62	19
63	21
64	18
65	15
66	10
67	15
68	14
69	11
70	16
71	13
72	12
73	10
74	16
75	18
76	11
77	8
78	15
79	12
80	7
81	13
82	12
83	11
84	8
85	10
86	11
87	7
88	12
89	9
90	8
91	4
92	7
93	6
94	7
95	10
96	10
97	15
98	7
99	7
100	5
815	845
1305	1
